titulo,autor,variante_titulo,extension,distribuidor,materias,nota,detalles
Cabañeros : Parque Nacional,Organismo Autónomo Parques Nacionales (España),,1 mapa,Organismo Autónomo Parques Nacionales,Excursionismo -- Mapas -- Parque Nacional de Cabañeros,"Incluye información de interés que continúa al verso, ficha técnica del parque, rutas recomendadas, consejos de seguridad y normas del parque y fotografías",col.
Cabezón de Pisuerga,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Cabo de Gata,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Cabrils,SR Mapes,,1 plano,SR Mapes,Comercios -- Planos -- Cabrils,"Inserta: Callejero; relación de equipamientos y servicios con su localización en el plano; información comercial que continúa al verso, con su localización en el plano",col.
Cabuérniga : identidad natural y cultural de Cantabria,Gestidea,,1 mapa,Ayuntamiento de Cabuérniga,Excursionismo -- Mapas -- Cabuérniga,Inserta: Rutas turísticas; elementos y lugares de interés; mapa de situación de Cabuérniga en Cantabria,col.
Cadaqués,SR Mapes,,1 plano,SR Mapes,Comercios -- Planos -- Cadaqués,"Incluye mapa del término municipial de Cadaqués, mapa del Alt Empordà, nomenclátor de calles de Cadaqués, teléfonos de interés, información comercial que continúa al verso con su localización en el plano y fotografías",col.
Cadaqués : (Alt Empordà),SR Mapes,,1 plano,SR Mapes,,Incluye teléfonos de interés; mapa del término municipal de Cadaqués; mapa de carreteras de la comarca de Alt Empordà,col.
Cadaqués : (Alt Empordà),SR Mapes,,1 plano,SR Mapes,,Incluye teléfonos de interés; mapa del término municipal de Cadaqués; mapa de carreteras de la comarca de Alt Empordà,col.
Cádiz,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 mapa,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,Inserta: Información general y relación de fiestas de interés turístico; pequeños mapas de localización de la provincia en Andalucía y España,col.
Cádiz,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,Inserta: Plano general de la ciudad de Cádiz; mapa de accesos a la ciudad,col.
Cádiz y provincia,Editorial Fisa Escudo de Oro,,1 mapa,Editorial Fisa Escudo de Oro,Carreteras -- Mapas -- Cádiz (Provincia),Inserta: Índice toponímico,col.
Caín,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Calabardina,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Calaceit,Asociación de los Pueblos Más Bonitos de España,,1 plano,Asociación Los Pueblos Más Bonitos de España,,"Incluye lugares de interés con breve descripción y su localización en el plano, mapa de la comarca de Matarraña, datos demográficos y distancias kilométricas desde Calaceite a otras ciudades españolas e información comercial",col.
Calatayud,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Calatayud,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Calella,SR Mapes,,1 plano,SR Mapes,,Inserta: Relación de equipamientos y servicios con su localización en el plano,col.
Calonge,SR Mapes,,1 plano,SR Mapes,Comercios -- Planos -- Calonge -- Comercios -- Planos -- Sant Antoni de Calonge,Inserta: Callejero; lugares de interés; plano ampliación del centro urbano; mapa de accesos por carretera y localización en la provincia,col.
Camaleño,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Camariñas,Camariñas,,1 mapa,Concello da Camariñas,Excursionismo -- Mapas -- Camariñas,Inserta: Rutas por la costa y el interior de Camariñas; consejos para caminantes; información general; fotografías,col.
Camariñas,Camariñas,,1 mapa,Concello de Camariñas,,"Inserta: Información de las rutas recomendadas por el municipio señaladas en el mapa; mapas de localización en la provincia, España y Europa; señales de senderismo; recomendaciones",col.
Camariñas,Camariñas,,1 mapa,Concello de Camariñas,,"Inserta: Información de las rutas recomendadas por el municipio señaladas en el mapa; mapas de localización en la provincia, España y Europa; señales de senderismo; recomendaciones",col.
Camariñas : o mar todo,Camariñas,,1 mapa,Concello de Camariñas,,"Inserta: Mapas de localización en la Costa da Morte, España y Europa; playas y lugares de interés a lo largo de las rutas recomendadas, con su localización en el mapa; consejos para caminantes",col.
Cambil,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Cambrils gastronomic,Marketing Total,,1 plano,Marketing Total,Comercios -- Planos -- Cambrils,Inserta: Teléfonos de interés,col.
Camí Ignasià,Sàpiens Publicacions,Camino Ignaciano,1 mapa,"Generalitat de Catalunya, Direcció General de Turisme",,Inserta: Siete etapas del Camino Ignaciano a su paso por Cataluña señaladas en el mapa; perfil altimétrico del recorrido,col.
"Camíname : es la mejor forma de conocerme : siente Pontevedra, siente Rías Baixas",Turismo Rías Baixas,,1 plano,Turismo Rías Baixas,,Incluye relación de alojamientos turísticos con su localización en el plano,col.
"Camíname : es la mejor forma de conocerme : siente Vigo, siente Rías Baixas",Turismo de Vigo,,1 plano,Turismo de Vigo,,Inserta: Relación de alojamientos turísticos con su localización en el plano,col.
Camino de Santiago,Ediciones A.M.,,13 mapas,Ediciones A.M.,,Insertan: Perfiles altimétricos,"ambas caras, col."
Camino de Santiago = Done Jakue bidea = Way of St. James = Chemin St-Jaques,Etxalar Marketing Turístico,Done Jakue bidea,1 mapa,Etxalar Marketing Turístico,,"Incluye relación de alojamientos, restaurantes, comercios, visitas recomendadas y servicios e información comercial que continúa al verso, con su localización en el mapa",col.
Camino de Santiago = Donejakue bidea,País Vasco,Donejakue bidea,1 mapa,"Eusko Jaurlaritza, Turismo, Merkataritza eta Kontsumo Saila = Gobierno Vasco, Departamento de Turismo, Comercio y Consumo",,"Inserta: Mapas de localización de las capitales de provincia, del País Vasco en Europa y del Camino de la Costa; mapa de localización del Camino de la Costa y del Camino del Interior; actividades y rutas recomendadas",col.
El Camino de Santiago Portugés y Vía de la Plata,Ideas Peregrinas,,1 mapa,Ideasperegrinas.com,,,col.
Camino Fisterra-Muxía,Galicia,,1 mapa,Xunta de Galicia,,"Incluye perfiles de las etapas, localidades que disponen de albergues para peregrinos, mapa de los caminos en Galicia, mapa de los caminos en Europa, servicios, historia y descripción del Camino Fisterra-Muxía, fotografías",col.
Camino francés,Galicia,,1 mapa,Xunta de Galicia,,"Incluye perfiles de las etapas, localidades que disponen de albergues para peregrinos, mapa de los caminos en Galicia, mapa de los caminos en Europa, servicios, historia y descripción del Camino francés, fotografías",col.
Camino inglés,Galicia,,1 mapa,Xunta de Galicia,,"Incluye perfiles de las etapas, localidades que disponen de albergues para peregrinos, mapa de los caminos en Galicia, mapa de los caminos en Europa, servicios, historia y descripción del Camino inglés y fotografías",col.
Camino Lebaniego Castellano,Pin Estudio,,1 mapa,Oficina de Turismo de Palencia,"Peregrinaciones cristianas -- Mapas -- Palencia (Provincia) -- Peregrinaciones cristianas -- Mapas -- La Liébana (Cantabria, Comarca)",Inserta: Pequeño mapa de localización de la ruta completa de Palencia hasta el monasterio de Santo Toribio de Liébana; esquema y etapas del recorrido con información de kilometraje y servicios,col.
Camino portugués,Galicia,,1 mapa,Xunta de Galicia,,"Incluye perfiles de las etapas, localidades que disponen de albergues para peregrinos, mapa de los caminos en Galicia, mapa de los caminos en Europa, servicios, historia y descripción del Camino portugués y fotografías",col.
Caminos de Santiago en Europa,Instituto Geográfico Nacional (España),,1 mapa,Centro Nacional de Información Geográfica,,Inserta: Cuadro con emblemas de asociaciones europeas de amigos del Camino de Santiago,col.
Los Caminos de Santiago en la provincia de Guadalajara,EMADE,,1 mapa,Ayuntamiento de Trillo,,"Inserta: Etapas del Camino de la Lana, del Camino del Arcipreste y del Camino Occidental y conexiones con el Camino de Santiago",col.
Caminos naturales e itinerarios no motorizados,España,,1 mapa,"Ministerio de Agricultura y Pesca, Alimentación y Medio Ambiente",Caminos -- Mapas -- España,"Al verso: Información sobre el Programa de Caminos naturales e itinerarios no motorizados del Ministerio de Agricultura y Pesca, Alimentación y Medio Ambiente; fotografías",col.
Els Camins de Querol : el camí de les terres del Gaià,Editorial Piolet,,1 mapa,Editorial Piolet,Excursionismo -- Mapas -- Querol,Al verso: Camino de las tierras del Río Gaià; rutas de senderismo y bicicleta de montaña; patrimonio cultural y natural de Querol; perfiles de los recorridos; mapa de lugares de interés del municipio; fotografías,col.
Camporredondo de Alba,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Campos,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Can Magí,Instituto Cartográfico y Geológico de Cataluña,,1 mapa,ICGC,"Geología -- Mapas -- Vallès (Barcelona, Comarca)",Incluye mapas de: 1. Situación geológica. 2. Sedimentos cuaternarios. 3. Ortofotografía histórica. 4. Isopacas de los depósitos cuaternarios y antrópicos. 5. Depósito precuaternario. 6. Ortofotografía actual; columnas de sondeos representativos,col.
Can Sant Joan,Instituto Cartográfico y Geológico de Cataluña,,1 mapa,ICGC,Geología -- Mapas -- Montcada i Reixac,Incluye mapas de: 1. Situación geológica. 2. Sedimentos cuaternarios. 3. Ortofotografía histórica. 4. Isopacas de los depósitos cuaternarios y antrópicos. 5. Depósito precuaternario. 6. Ortofotografía actual; columnas de sondeos representativos,col.
Cap de Creus : parc natural,Editorial Alpina,,1 mapa,Editorial Alpina,Excursionismo -- Mapas -- Parque Natural de Cap de Creus,,col.
Carboneras,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Carcelén,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Cardedeu : Vallès Oriental,SR Mapes,,1 plano,SR Mapes,,Inserta: Relación de lugares de interés y paradas del autobús urbano con su localización en el plano,col.
Cardedeu : Vallès Oriental,SR Mapes,,1 plano,SR Mapes,Comercios -- Planos -- Cardedeu,"Inserta: Relación de equipamientos, servicios y lugares de interés con su localización en el plano; callejero; relación de paradas de autobús urbano localizadas en el plano; teléfonos de interés; información comercial que continúa al verso, con su localización en el plano",col.
Cardeña,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Carta de la isla de Lanzarote en las Canarias,España,,1 carta náutica,"[Ministerio de Defensa, Secretaría General Técnica]",,,[]
Carta de la ría y puerto de La Coruña,España,,1 carta náutica,"[Ministerio de Defensa, Secretaría General Técnica]",,,[]
"Carta geométrica de Galicia : Dividida en sus Provincias de Coruña, Lugo, Orense, Pontevedra y subdividida en Partidos y Ayuntamientos : Presentada en 1834 a S. M. La Reina Gobernadora Doña Maria Cristina de Borbón por su Secretario de Estado y del despacho de lo Interior","Fontán, Domingo",,1 mapa,[s.n.],,"Inserta: En el ángulo superior derecho ""Unión de las doce hojas de la Carta geográfica de Galicia y su triangulación fundamental""",col.
Casa de Campo,"Crespo Castellanos, José Manuel",,1 mapa,Ayuntamiento de Madrid,,Inserta: Lugares de interés y árboles singulares con su localización en el plano,col.
Casar de Cáceres,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Casco histórico de Hornachuelos,Patronato Provincial de Turismo (Córdoba),,1 plano,"Diputación de Córdoba, Patronato Provincial de Turismo",Senderismo -- Mapas -- Hornachuelos,Inserta: Información de edificios y lugares de interés histórico con su localización en el plano; fotografías,col.
Casomera,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Castejón de Monegros,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Castell de Castells,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Castro Urdiales,Publicaciones Ornes,,1 plano,Publicaciones Ornes,,Inserta: Callejero; alojamientos; patrimonio artístico; centros públicos,col.
Castro Urdiales,Publicaciones Ornes,,1 plano,Publicaciones Ornes,,Inserta: Callejero; alojamientos; patrimonio artístico; centros públicos,col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
